battery_current,extra_load_kg,vehicle_model,c_rating,charge_cycles_weekly,age_of_ev_years,driving_conditions,charging_type,outside_temp_c,auxiliary_load_percent,reduced_range_km,battery_breakdown
99.889628523367,186.82040923334924,Model B,1.0,17,2,city,Level 2,16.5,8.134247520221852,76.40332801674818,Yes
238.1714335383799,166.45604811570163,Model B,1.0,10,3,highway,Level 1,36.6,13.516019071339938,55.18785132015391,Yes
185.67854603473722,88.07695625143003,Model D,2.0,5,7,highway,Fast Charging,26.5,2.3490967454660145,101.19828070357502,Yes
153.67803620728878,303.633335050744,Model A,0.5,10,3,highway,Fast Charging,25.3,12.029244706289452,135.23443601257352,Yes
47.444473706184766,238.31208025431445,Model A,1.5,17,2,highway,Level 2,20.4,10.707010366014133,51.65037599190793,No
47.43868488068863,432.85049616200183,Model C,1.5,17,6,highway,Fast Charging,26.5,18.998660149458484,141.74569800635868,Yes
23.94006692036787,16.054790241029128,Model D,2.0,17,2,city,Level 2,25.9,19.999956390905943,103.17863887494846,Yes
217.88227498598445,321.9339637775632,Model C,2.0,24,2,hill road,Fast Charging,29.0,21.80630849541511,198.96625438022497,Yes
154.2676028183701,381.47443925578057,Model B,1.5,8,2,highway,Fast Charging,22.7,21.430955419277595,167.41866116494677,Yes
179.93741867105092,379.7432845941535,Model A,1.5,9,4,hill road,Fast Charging,22.1,24.958671022652894,93.65704464471392,Yes
14.940278630992587,443.03698354776253,Model C,0.5,17,7,hill road,Level 2,21.9,17.68640802887912,195.7241166443021,Yes
242.77836451887865,364.516871414747,Model C,2.0,13,6,highway,Level 2,23.8,15.518241250135247,91.75295991555147,Yes
209.78623379210123,463.90503082384816,Model A,0.5,21,5,highway,Level 1,25.9,3.6794104150123603,66.2401167214912,Yes
60.961386562786274,166.32829991044574,Model B,2.0,7,4,hill road,Level 1,31.6,11.704004108059255,54.02994826750993,Yes
53.637992129704145,251.60470837577154,Model C,2.0,24,2,city,Fast Charging,31.3,10.761369306875759,167.52391579697002,Yes
54.01708236482412,7.039831641445337,Model C,0.5,22,8,hill road,Fast Charging,24.1,18.36498094329849,97.86456156006479,Yes
83.01813831028906,3.4787936516456064,Model D,1.0,29,2,city,Fast Charging,37.5,6.86696188724224,197.65047057775413,Yes
135.9415435917371,120.06331022575995,Model D,1.0,19,8,hill road,Level 2,27.5,21.771178472987106,142.73140415834308,Yes
113.66680447410778,50.40359856954263,Model A,1.0,27,4,highway,Fast Charging,27.9,5.495372909293325,74.64397475015868,Yes
79.89499364753006,130.10568396787681,Model A,2.0,5,5,city,Level 1,29.2,12.089376695147248,100.40724599502312,Yes
156.84469473337109,88.5216472641987,Model B,0.5,13,1,hill road,Fast Charging,31.4,23.608685944542394,126.85098695319711,Yes
43.47852655649004,14.26001241932412,Model B,1.0,10,2,city,Level 1,30.0,8.599524257384422,158.25726855438904,Yes
80.11471564845236,454.6520732030247,Model C,1.5,22,8,highway,Fast Charging,22.2,18.198932596091208,138.71226066655478,Yes
97.926842390486,4.111565694445762,Model D,1.0,5,1,city,Fast Charging,23.3,8.390483586976986,89.00028680916537,Yes
119.45679621208862,368.0410721685427,Model B,0.5,26,3,highway,Fast Charging,18.5,12.859965994956186,121.40568477718189,Yes
